date,Rank,New_Artist,Title,Production,Runtime,Genre,Weekly Views,n_score,g_score,ky_chart_on
2023-09-24,181,에드 시런,Shape of You,Atlantic Records UK,3:54,POP / 팝,2031892.0,65.60055,85.0,False
2023-09-24,183,임영웅,보금자리,물고기뮤직,2:52,가요 / 트로트,5430728.0,51.15188,30.0,False
2023-09-24,184,임영웅,연애편지,물고기뮤직,3:35,가요 / 블루스/포크,5430728.0,51.15188,30.0,False
2023-09-24,185,데이먼스 이어,yours,Akashic Records,2:45,가요 / 인디,0.0,67.1909,76.0,False
2023-09-24,186,엔믹스,Love Me Like This,JYP Entertainment,3:09,가요 / 댄스,1518475.0,30.88872,10.0,False
2023-09-24,187,마크툽,오늘도 빛나는 너에게 (To You My Light) (Feat.이라온),MAKTUB Company,4:26,가요 / 인디,1544701.0,43.0021,15.0,False
2023-09-24,188,아이유,드라마,EDAM엔터테인먼트,2:08,가요 / 발라드,7814217.0,35.75378,80.0,False
2023-09-24,189,찰리 푸스,One Call Away,Artist Partners,3:14,POP / 팝,3727492.0,15.56366,13.0,False
2023-09-24,190,헤이즈,비도 오고 그래서 (Feat. 신용재),Stone Music Entertainment,3:25,가요 / 랩/힙합,2095750.0,14.56436,5.0,False
2023-09-24,191,김승민,내 기쁨은 너가 벤틀리를 끄는 거야,뷰티플노이즈,3:02,가요 / 랩/힙합,1519219.0,53.18739,5.0,False
2023-09-24,192,엠씨더맥스,어디에도,뮤직앤뉴,5:31,가요 / 발라드,2928199.0,46.9601,2.0,True
2023-09-24,193,유우리,BETELGEUSE,Sony Music Labels Inc.,3:50,J-POP / 락,1581660.0,18.11441,1.0,False
2023-09-24,194,아이유,Celebrity,EDAM엔터테인먼트,3:16,가요 / 댄스,7814217.0,35.75378,80.0,False
2023-09-24,195,블랙핑크,마지막처럼,YG Entertainment,3:33,가요 / 댄스,4668125.0,63.54764,10.0,False
2023-09-24,196,아이유,Blueming,Kakao Entertainment,3:37,가요 / 락,7814217.0,35.75378,80.0,False
2023-09-24,197,이무진,신호등,쇼플레이,3:52,가요 / 락,1681594.0,34.29025,27.0,True
2023-09-24,198,비오,LOVE me,"BPM ENTERTAINMENT, SWING ENTERTAINMENT, 페임어스엔터테인먼트",2:53,가요 / 랩/힙합,1472656.0,12.53354,30.0,False
2023-09-24,199,백예린,Square (2017),블루바이닐,4:22,가요 / 전체,3104738.0,56.40243,20.0,False
2023-09-24,200,태연,INVU,SM Entertainment,3:25,가요 / 댄스,3339484.0,48.22949,49.0,False
2023-10-01,1,악뮤,Love Lee,YG Entertainment,3:00,가요 / 댄스,11053352.0,76.40452,87.0,False
2023-10-01,2,엔시티 127,Fact Check (불가사의; 不可思議),SM Entertainment,3:05,가요 / 댄스,1492492.0,56.24331,20.0,False
2023-10-01,3,악뮤,후라이의 꿈,YG Entertainment,3:25,가요 / 블루스/포크,11053352.0,76.40452,87.0,False
2023-10-01,5,정국,Seven (feat. Latto) - Clean Ver.,BIGHIT MUSIC,3:04,가요 / 댄스,7296860.0,64.77082,61.0,False
2023-10-01,6,뉴진스,Super Shy,ADOR,2:35,가요 / 댄스,10594372.0,10.07439,7.0,False
2023-10-01,7,뉴진스,ETA,ADOR,2:31,가요 / 댄스,10594372.0,10.07439,7.0,False
2023-10-01,8,정국,3D (feat. Jack Harlow),BIGHIT MUSIC,3:22,가요 / 댄스,7296860.0,64.77082,61.0,False
2023-10-01,9,전소미,Fast Forward,The Black Label,2:41,가요 / 댄스,2427247.0,46.79575,8.0,False
2023-10-01,10,박재정,헤어지자 말해요,로맨틱팩토리,4:04,가요 / 발라드,1796894.0,35.85812,19.0,True
2023-10-01,11,화사,I Love My Body,피네이션,2:30,가요 / 댄스,1560865.0,100.0,91.0,False
2023-10-01,12,우디,사막에서 꽃을 피우듯,메이저나인,4:19,가요 / 발라드,1675680.0,29.85303,48.0,False
2023-10-01,13,아이브,I AM,스타쉽엔터테인먼트,3:04,가요 / 댄스,9619194.0,58.96604,46.0,False
2023-10-01,14,아이브,Either Way,스타쉽엔터테인먼트,2:47,가요 / R&B/소울,9619194.0,58.96604,46.0,False
2023-10-01,15,스테이씨,Bubble,하이업엔터테인먼트,2:59,가요 / 댄스,2937867.0,79.92148,15.0,False
2023-10-01,16,여자 아이들,퀸카 (Queencard),큐브엔터테인먼트,2:41,가요 / 댄스,3644521.0,21.96364,4.0,False
2023-10-01,17,뉴진스,Hype boy,ADOR,2:57,가요 / 댄스,10594372.0,10.07439,7.0,False
2023-10-01,18,라이즈,Get A Guitar,SM Entertainment,2:40,가요 / 댄스,1664995.0,37.8457,40.0,False
2023-10-01,19,르세라핌,"이브, 프시케 그리고 푸른 수염의 아내",쏘스뮤직,3:06,가요 / 댄스,4335304.0,15.0232,21.0,False
2023-10-01,20,라우브,Steal The Show (From “엘리멘탈”),Walt Disney Records,3:13,OST / 전체,3139154.0,18.79329,6.0,False
2023-10-01,21,에스파,Spicy,SM Entertainment,3:17,가요 / 댄스,4592750.0,25.61945,11.0,False
2023-10-01,22,뉴진스,Ditto,ADOR,3:06,가요 / 댄스,10594372.0,10.07439,7.0,False
2023-10-01,23,로이킴,"잘 지내자, 우리 (여름날 우리 X 로이킴)",TOON STUDIO,4:18,가요 / 발라드,1636248.0,27.76003,25.0,False
2023-10-01,24,아이브,Kitsch,스타쉽엔터테인먼트,3:15,가요 / 댄스,9619194.0,58.96604,46.0,False
2023-10-01,25,뉴진스,New Jeans,ADOR,1:49,가요 / 댄스,10594372.0,10.07439,7.0,False
2023-10-01,26,윤하,사건의 지평선,C9엔터테인먼트,5:01,가요 / 락,3931666.0,21.80381,10.0,False
