date,Title,Artist,변환한이름,Score
2023-10-15,ANTIFRAGILE,LE SSERAFIM (르세라핌),르세라핌,30.0
2023-10-22,ANTIFRAGILE,LE SSERAFIM (르세라핌),르세라핌,44.0
2023-10-29,ANTIFRAGILE,LE SSERAFIM (르세라핌),르세라핌,52.0
2023-11-05,ANTIFRAGILE,LE SSERAFIM (르세라핌),르세라핌,41.0
2023-11-12,ANTIFRAGILE,LE SSERAFIM (르세라핌),르세라핌,29.0
2023-11-19,ANTIFRAGILE,LE SSERAFIM (르세라핌),르세라핌,32.0
2023-11-26,ANTIFRAGILE,LE SSERAFIM (르세라핌),르세라핌,29.0
2023-12-03,ANTIFRAGILE,LE SSERAFIM (르세라핌),르세라핌,25.0
2023-12-10,ANTIFRAGILE,LE SSERAFIM (르세라핌),르세라핌,25.0
2023-12-17,ANTIFRAGILE,LE SSERAFIM (르세라핌),르세라핌,24.0
2023-12-24,ANTIFRAGILE,LE SSERAFIM (르세라핌),르세라핌,27.0
2023-12-31,ANTIFRAGILE,LE SSERAFIM (르세라핌),르세라핌,27.0
2024-01-07,ANTIFRAGILE,LE SSERAFIM (르세라핌),르세라핌,22.0
2024-01-14,ANTIFRAGILE,LE SSERAFIM (르세라핌),르세라핌,20.0
2024-01-21,ANTIFRAGILE,LE SSERAFIM (르세라핌),르세라핌,25.0
2024-01-28,ANTIFRAGILE,LE SSERAFIM (르세라핌),르세라핌,25.0
2024-02-04,ANTIFRAGILE,LE SSERAFIM (르세라핌),르세라핌,23.0
2024-02-11,ANTIFRAGILE,LE SSERAFIM (르세라핌),르세라핌,23.0
2024-02-18,ANTIFRAGILE,LE SSERAFIM (르세라핌),르세라핌,56.0
2024-02-25,ANTIFRAGILE,LE SSERAFIM (르세라핌),르세라핌,50.0
2024-03-03,ANTIFRAGILE,LE SSERAFIM (르세라핌),르세라핌,36.0
2024-03-10,ANTIFRAGILE,LE SSERAFIM (르세라핌),르세라핌,32.0
2024-03-17,ANTIFRAGILE,LE SSERAFIM (르세라핌),르세라핌,30.0
2024-03-24,ANTIFRAGILE,LE SSERAFIM (르세라핌),르세라핌,25.0
2024-03-31,ANTIFRAGILE,LE SSERAFIM (르세라핌),르세라핌,28.0
2024-04-07,ANTIFRAGILE,LE SSERAFIM (르세라핌),르세라핌,26.0
2024-04-14,ANTIFRAGILE,LE SSERAFIM (르세라핌),르세라핌,100.0
2024-04-21,ANTIFRAGILE,LE SSERAFIM (르세라핌),르세라핌,90.0
2024-04-28,ANTIFRAGILE,LE SSERAFIM (르세라핌),르세라핌,54.0
2024-05-05,ANTIFRAGILE,LE SSERAFIM (르세라핌),르세라핌,41.0
2024-05-12,ANTIFRAGILE,LE SSERAFIM (르세라핌),르세라핌,36.0
2024-05-19,ANTIFRAGILE,LE SSERAFIM (르세라핌),르세라핌,26.0
2024-05-26,ANTIFRAGILE,LE SSERAFIM (르세라핌),르세라핌,29.0
2024-06-02,ANTIFRAGILE,LE SSERAFIM (르세라핌),르세라핌,28.0
2024-06-09,ANTIFRAGILE,LE SSERAFIM (르세라핌),르세라핌,22.0
2024-06-16,ANTIFRAGILE,LE SSERAFIM (르세라핌),르세라핌,21.0
2024-06-23,ANTIFRAGILE,LE SSERAFIM (르세라핌),르세라핌,21.0
2024-06-30,ANTIFRAGILE,LE SSERAFIM (르세라핌),르세라핌,15.0
2024-07-07,ANTIFRAGILE,LE SSERAFIM (르세라핌),르세라핌,15.0
2024-07-14,ANTIFRAGILE,LE SSERAFIM (르세라핌),르세라핌,16.0
2024-07-21,ANTIFRAGILE,LE SSERAFIM (르세라핌),르세라핌,14.0
2024-07-28,ANTIFRAGILE,LE SSERAFIM (르세라핌),르세라핌,18.0
2024-08-04,ANTIFRAGILE,LE SSERAFIM (르세라핌),르세라핌,17.0
2024-08-11,ANTIFRAGILE,LE SSERAFIM (르세라핌),르세라핌,15.0
2024-08-18,ANTIFRAGILE,LE SSERAFIM (르세라핌),르세라핌,16.0
2024-08-25,ANTIFRAGILE,LE SSERAFIM (르세라핌),르세라핌,32.0
2024-09-01,ANTIFRAGILE,LE SSERAFIM (르세라핌),르세라핌,42.0
2024-09-08,ANTIFRAGILE,LE SSERAFIM (르세라핌),르세라핌,32.0
2024-09-15,ANTIFRAGILE,LE SSERAFIM (르세라핌),르세라핌,24.0
2024-09-22,ANTIFRAGILE,LE SSERAFIM (르세라핌),르세라핌,18.0
2023-09-24,After LIKE,IVE (아이브),아이브,48.0
2023-10-01,After LIKE,IVE (아이브),아이브,46.0
2023-10-08,After LIKE,IVE (아이브),아이브,55.0
2023-10-15,After LIKE,IVE (아이브),아이브,52.0
2023-10-22,After LIKE,IVE (아이브),아이브,48.0
2023-10-29,After LIKE,IVE (아이브),아이브,43.0
2023-11-05,After LIKE,IVE (아이브),아이브,45.0
2023-11-12,After LIKE,IVE (아이브),아이브,45.0
2023-11-19,After LIKE,IVE (아이브),아이브,42.0
2023-11-26,After LIKE,IVE (아이브),아이브,40.0
