date,Rank,Title,Artist,Production
2023-01-01,166,MY BAG,(여자)아이들,큐브엔터테인먼트
2023-01-01,167,그래서 그대는,이영현,방구석 캐스팅
2023-01-01,168,바보에게 바보가 (웹툰 `연애의 발견` X 이석훈),이석훈,TOON STUDIO
2023-01-01,169,통화연결음,"보라미유, MJ",프로젝트 리본
2023-01-01,170,KICK BACK,Kenshi Yonezu,Sony Music Labels Inc.
2023-01-01,171,듣고 싶을까,MSG워너비(M.O.M),NK Company
2023-01-01,172,선물,멜로망스(Melomance),"민트페이퍼, 광합성"
2023-01-01,173,겨울잠,아이유 (IU),EDAM엔터테인먼트
2023-01-01,174,Bad Habits,Ed Sheeran,Atlantic Records UK
2023-01-01,175,에잇 (Prod.&Feat. SUGA of BTS),아이유 (IU),EDAM엔터테인먼트
2023-01-01,176,리무진 (Feat. MINO) (Prod. GRAY),BE`O (비오),Stone Music Entertainment
2023-01-01,177,I Ain`t Worried,OneRepublic,Interscope Records
2023-01-01,178,Bad,Christopher,Parlophone Denmark
2023-01-01,179,거리에서,성시경,제로원인터랙티브
2023-01-01,180,I Don`t Think That I Like Her,Charlie Puth,Atlantic Records
2023-01-01,181,오늘도 빛나는 너에게 (To You My Light) (Feat.이라온),마크툽 (Maktub),MAKTUB Company
2023-01-01,182,Impurities,LE SSERAFIM (르세라핌),쏘스뮤직
2023-01-01,183,시작,가호 (Gaho),블렌딩
2023-01-01,184,고백,멜로망스(Melomance),"카카오엔터테인먼트, 민트페이퍼, 광합성"
2023-01-01,185,사랑하긴 했었나요 스쳐가는 인연이었나요 짧지않은 우리 함께했던 시간들이 자꾸 내 마음을 가둬두네,잔나비,페포니 뮤직
2023-01-01,186,눈사람,정승환,안테나뮤직
2023-01-01,187,바라만 본다,MSG워너비(M.O.M),유야호
2023-01-01,188,그중에 그대를 만나,김호중,캔버스뮤직
2023-01-01,189,Love Yourself,Justin Bieber,"Def Jam Recordings, a division of UMG Recordings, Inc"
2023-01-01,190,취기를 빌려 (취향저격 그녀 X 산들),산들,TOON STUDIO
2023-01-01,191,See you ! (Feat. SOLE (쏠)) (Prod. R.Tee),허성현 (Huh),Stone Music Entertainment
2023-01-01,192,"Diamonds (Feat. 릴보이 (lIlBOI), Spray)",Blase (블라세),Stone Music Entertainment
2023-01-01,193,너였다면,정승환,Stone Music Entertainment
2023-01-01,194,Vancouver,BIG Naughty (서동현),H1GHR MUSIC
2023-01-01,195,찰나가 영원이 될 때 (The Eternal Moment),마크툽 (Maktub),MAKTUB Company
2023-01-01,196,Crazy,Gnarls Barkley,Warner Music
2023-01-01,197,들꽃놀이 (with 조유진),RM,BIGHIT MUSIC
2023-01-01,198,One Call Away,Charlie Puth,Artist Partners
2023-01-01,199,헤픈 우연,헤이즈 (Heize),피네이션
2023-01-01,200,늦은 밤 너의 집 앞 골목길에서,노을,씨제스엔터테인먼트
2023-01-08,1,Ditto,NewJeans,ADOR
2023-01-08,2,OMG,NewJeans,ADOR
2023-01-08,3,사건의 지평선,윤하,C9엔터테인먼트
2023-01-08,4,Hype boy,NewJeans,ADOR
2023-01-08,5,ANTIFRAGILE,LE SSERAFIM (르세라핌),쏘스뮤직
2023-01-08,6,NOT SORRY (Feat. pH-1) (Prod. by Slom),이영지,Stone Music Entertainment
2023-01-08,7,Candy,NCT DREAM,SM Entertainment
2023-01-08,8,Attention,NewJeans,ADOR
2023-01-08,9,After LIKE,IVE (아이브),스타쉽엔터테인먼트
2023-01-08,10,Nxde,(여자)아이들,큐브엔터테인먼트
2023-01-08,11,LOVE DIVE,IVE (아이브),스타쉽엔터테인먼트
2023-01-08,12,새삥 (Prod. ZICO) (Feat. 호미들),지코 (ZICO),Stone Music Entertainment
2023-01-08,13,마이웨이 (MY WAY) (Prod. R.Tee),"저스디스 (JUSTHIS), 던말릭 (Don Malik), 허성현 (Huh), KHAN, 맥대디 (Mckdaddy), Los",Stone Music Entertainment
2023-01-08,14,Monologue,테이 (Tei),방구석 캐스팅
2023-01-08,15,Beautiful Liar,몬스타엑스,스타쉽엔터테인먼트
2023-01-08,16,Cookie,NewJeans,ADOR
2023-01-08,17,너의 모든 순간,성시경,SBS 콘텐츠허브
2023-01-08,18,Shut Down,BLACKPINK,YG Entertainment
2023-01-08,19,FEARLESS,LE SSERAFIM (르세라핌),쏘스뮤직
2023-01-08,20,그대를 알고,송하예,디스튜디오
2023-01-08,21,사랑은 늘 도망가,임영웅,모스트콘텐츠
2023-01-08,22,Dreamers (Feat. FIFA Sound),"정국, 방탄소년단",Katara Studios | 2101 Records under exclusive license to UnitedMasters LLC
2023-01-08,23,WHEN I MOVE,카라 (KARA),RBW
2023-01-08,24,해요 (2022),#안녕,일팔 프로젝트
2023-01-08,25,Rush Hour (Feat. j-hope of BTS),크러쉬 (CRUSH),피네이션
2023-01-08,26,사랑인가 봐,멜로망스(Melomance),플렉스엠
2023-01-08,27,Pink Venom,BLACKPINK,YG Entertainment
2023-01-08,28,VIBE (feat. Jimin of BTS),태양,The Black Label
2023-01-08,29,잘가요,주호,레이벡스
2023-01-08,30,그때 그 순간 그대로 (그그그),WSG워너비 (가야G),MBC
2023-01-08,31,TOMBOY,(여자)아이들,큐브엔터테인먼트
2023-01-08,32,Say I Love You,우디(Woody),메이저나인
