Unnamed: 0,date,Rank,Title,Artist_x,Production,Weekly Views,Genre,Runtime,New_Artist,n_score,g_score,ky_chart_on,Artist_y,Date,Ratio
62,2023-09-24,61,파이팅 해야지 (Feat. 이영지),부석순 (SEVENTEEN),플레디스,4099014.0,가요 / 댄스,3:25,부석순,22.37512,1.0,False,부석순,2023-09-24,22.37512
64,2023-09-24,63,Somebody,디오 (D.O.),SM Entertainment,0.0,가요 / 블루스/포크,2:39,디오,76.55008,63.0,False,디오,2023-09-24,76.55008
65,2023-09-24,63,Somebody,디오 (D.O.),SM Entertainment,0.0,가요 / 블루스/포크,2:39,디오,76.55008,45.0,False,디오,2023-09-24,76.55008
66,2023-09-24,64,별 떨어진다 (I Do),디오 (D.O.),SM Entertainment,0.0,가요 / 발라드,2:43,디오,76.55008,63.0,False,디오,2023-09-24,76.55008
67,2023-09-24,65,사실말야내가말야그게그러니까말이야,케이시 (Kassy),넥스타엔터테인먼트,0.0,가요 / 발라드,2:55,케이시,34.21674,47.0,False,케이시,2023-09-24,34.21674
68,2023-09-24,66,해요 (2022),#안녕,일팔 프로젝트,0.0,가요 / 발라드,3:58,#안녕,13.34714,59.0,True,#안녕,2023-09-24,13.34714
70,2023-09-24,68,민들레 (single ver.),우효 (OOHYO),문화인,0.0,가요 / 인디,4:13,우효,93.26119,100.0,False,우효,2023-09-24,93.26119
71,2023-09-24,69,Like Crazy,지민,BIGHIT MUSIC,0.0,가요 / 댄스,3:32,지민,35.12834,44.0,False,지민,2023-09-24,35.12834
72,2023-09-24,70,Cupid,FIFTY FIFTY,ATTRAKT,0.0,가요 / 댄스,2:54,피프티 피프티,20.2219,1.0,False,피프티 피프티,2023-09-24,20.2219
74,2023-09-24,72,Candy,NCT DREAM,SM Entertainment,2295308.0,가요 / 댄스,3:37,엔시티 드림,31.20076,2.0,False,엔시티 드림,2023-09-24,31.20076
104,2023-09-24,101,ISTJ,NCT DREAM,SM Entertainment,2295308.0,가요 / 댄스,3:05,엔시티 드림,31.20076,2.0,False,엔시티 드림,2023-09-24,31.20076
145,2023-09-24,141,Yogurt Shake,NCT DREAM,SM Entertainment,2295308.0,가요 / 댄스,3:18,엔시티 드림,31.20076,2.0,False,엔시티 드림,2023-09-24,31.20076
76,2023-09-24,74,Dynamite,방탄소년단,BIGHIT MUSIC,4712538.0,가요 / 댄스,3:19,방탄소년단,69.9992,13.0,False,방탄소년단,2023-09-24,69.9992
92,2023-09-24,89,봄날,방탄소년단,BIGHIT MUSIC,4712538.0,가요 / 댄스,4:34,방탄소년단,69.9992,13.0,False,방탄소년단,2023-09-24,69.9992
97,2023-09-24,94,Butter,방탄소년단,BIGHIT MUSIC,4712538.0,가요 / 댄스,2:44,방탄소년단,69.9992,13.0,False,방탄소년단,2023-09-24,69.9992
142,2023-09-24,138,Take Two,방탄소년단,BIGHIT MUSIC,4712538.0,가요 / R&B/소울,3:50,방탄소년단,69.9992,13.0,False,방탄소년단,2023-09-24,69.9992
175,2023-09-24,168,Permission to Dance,방탄소년단,BIGHIT MUSIC,4712538.0,가요 / 댄스,3:08,방탄소년단,69.9992,13.0,False,방탄소년단,2023-09-24,69.9992
78,2023-09-24,76,잠깐 시간 될까,이무진,"BIGPLANETMADE, SWING ENTERTAINMENT",1681594.0,가요 / 락,3:48,이무진,34.29025,27.0,False,이무진,2023-09-24,34.29025
204,2023-09-24,197,신호등,이무진,쇼플레이,1681594.0,가요 / 락,3:52,이무진,34.29025,27.0,True,이무진,2023-09-24,34.29025
79,2023-09-24,77,"모든 날, 모든 순간 (Every day, Every Moment)",폴킴,SM Entertainment,2211380.0,OST / 드라마,3:31,폴킴,4.96729,20.0,False,폴킴,2023-09-24,4.96729
81,2023-09-24,79,사랑의 바보,제이세라 (J-Cera),"투플원 엔터테인먼트, 제나두엔터테인먼트",0.0,가요 / 발라드,3:54,제이세라,50.83702,13.0,False,제이세라,2023-09-24,50.83702
82,2023-09-24,80,사람 Pt.2 (feat. 아이유),Agust D,BIGHIT MUSIC,0.0,가요 / R&B/소울,3:34,어거스트 디,70.44854,0.0,False,어거스트 디,2023-09-24,70.44854
83,2023-09-24,81,Monologue,테이 (Tei),방구석 캐스팅,0.0,가요 / 발라드,4:22,테이,69.42807,15.0,True,테이,2023-09-24,69.42807
84,2023-09-24,82,사랑..그게 뭔데,지아 (Zia),니즈뮤직,1717017.0,가요 / 발라드,3:46,지아,45.81447,81.0,False,지아,2023-09-24,45.81447
176,2023-09-24,169,사랑하지 않아서 그랬니,지아 (Zia),플렉스엠,1717017.0,가요 / 발라드,3:43,지아,45.81447,81.0,False,지아,2023-09-24,45.81447
88,2023-09-24,85,여름이 들려 (Summer Comes),오마이걸 (OH MY GIRL),WM엔터테인먼트,1818769.0,가요 / 전체,3:21,오마이걸,25.7008,52.0,False,오마이걸,2023-09-24,25.7008
89,2023-09-24,86,그라데이션,10cm,매직스트로베리사운드,3657222.0,가요 / 인디,3:21,10cm,28.42956,0.0,False,10cm,2023-09-24,28.42956
90,2023-09-24,87,첫 키스에 내 심장은 120BPM,경서,꿈의엔진,1586369.0,가요 / 인디,3:19,경서,36.06336,35.0,False,경서,2023-09-24,36.06336
120,2023-09-24,116,나의 X에게,경서,꿈의엔진,1586369.0,가요 / 인디,3:08,경서,36.06336,35.0,False,경서,2023-09-24,36.06336
154,2023-09-24,150,밤하늘의 별을(2020),경서,꿈의엔진,1586369.0,가요 / 인디,3:37,경서,36.06336,35.0,False,경서,2023-09-24,36.06336
93,2023-09-24,90,Paint The Town Red,Doja Cat,Kemosabe Records/RCA Records,1492017.0,POP / 랩/힙합,3:52,도자 캣,94.16028,94.0,False,도자 캣,2023-09-24,94.16028
94,2023-09-24,91,빛이 나는 너에게,던 (DAWN),AT AREA,0.0,가요 / R&B/소울,2:55,던,5.30215,100.0,False,던,2023-09-24,5.30215
95,2023-09-24,92,Underwater,권은비,울림 엔터테인먼트,0.0,가요 / 댄스,2:51,권은비,99.28034,100.0,False,권은비,2023-09-24,99.28034
96,2023-09-24,93,가을 타나 봐,바이브 (Vibe),메이저나인,0.0,가요 / 발라드,3:52,바이브,90.40838,65.0,False,바이브,2023-09-24,90.40838
101,2023-09-24,98,좋은 밤 좋은 꿈,너드커넥션 (Nerd Connection),ES Records,0.0,가요 / 인디,4:26,너드커넥션,38.12224,81.0,False,너드커넥션,2023-09-24,38.12224
105,2023-09-24,102,밤편지,아이유 (IU),"페이브엔터테인먼트,카카오 M",7814217.0,가요 / 발라드,4:13,아이유,35.75378,80.0,False,아이유,2023-09-24,35.75378
178,2023-09-24,171,가을 아침,아이유 (IU),"페이브엔터테인먼트,카카오 M",7814217.0,가요 / 발라드,3:39,아이유,35.75378,80.0,False,아이유,2023-09-24,35.75378
195,2023-09-24,188,드라마,아이유 (IU),EDAM엔터테인먼트,7814217.0,가요 / 발라드,2:08,아이유,35.75378,80.0,False,아이유,2023-09-24,35.75378
201,2023-09-24,194,Celebrity,아이유 (IU),EDAM엔터테인먼트,7814217.0,가요 / 댄스,3:16,아이유,35.75378,80.0,False,아이유,2023-09-24,35.75378
203,2023-09-24,196,Blueming,아이유 (IU),Kakao Entertainment,7814217.0,가요 / 락,3:37,아이유,35.75378,80.0,False,아이유,2023-09-24,35.75378
108,2023-09-24,105,거리에서 (Feat. ASH ISLAND),릴러말즈 (Leellamarz),Ambition Musik,4067143.0,가요 / 랩/힙합,3:29,릴러말즈,30.24925,30.0,False,릴러말즈,2023-09-24,30.24925
160,2023-09-24,156,Trip (Feat. Hannah),릴러말즈 (Leellamarz),STRAD,4067143.0,가요 / 랩/힙합,3:53,릴러말즈,30.24925,30.0,False,릴러말즈,2023-09-24,30.24925
109,2023-09-24,106,뭣 같아,BOYNEXTDOOR,KOZ 엔터테인먼트,0.0,가요 / 댄스,2:55,보이넥스트도어,47.23514,26.0,False,보이넥스트도어,2023-09-24,47.23514
