date,Rank,Artist,Weekly Views
2023-10-08,66,V,12098752.0
2023-10-08,67,V,12098752.0
2023-10-08,68,화사(Hwa Sa),2033636.0
2023-10-08,69,aespa,4819306.0
2023-10-08,70,부석순 (SEVENTEEN),3848205.0
2023-10-08,71,임영웅,8060791.0
2023-10-08,72,케이시 (Kassy),1877468.0
2023-10-08,73,우효 (OOHYO),
2023-10-08,74,크러쉬 (CRUSH),1806336.0
2023-10-08,75,폴킴,2227375.0
2023-10-08,76,"Zac Efron, Zendaya",
2023-10-08,77,"김연지, DK",
2023-10-08,78,방탄소년단,4307363.0
2023-10-08,79,바이브 (Vibe),
2023-10-08,80,IVE (아이브),12098752.0
2023-10-08,81,임영웅,8060791.0
2023-10-08,82,김호중,
2023-10-08,83,NCT DREAM,2135428.0
2023-10-08,84,임영웅,8060791.0
2023-10-08,85,dori,
2023-10-08,86,지민,
2023-10-08,87,투모로우바이투게더,
2023-10-08,88,Charlie Puth,3780309.0
2023-10-08,89,지아 (Zia),1649106.0
2023-10-08,90,Yyeon,
2023-10-08,91,Doja Cat,1444573.0
2023-10-08,92,FIFTY FIFTY,
2023-10-08,93,이무진,1556397.0
2023-10-08,94,방탄소년단,4307363.0
2023-10-08,95,제이세라 (J-Cera),
2023-10-08,96,"다이나믹 듀오 (Dynamic Duo), DJ Premier",4050291.0
2023-10-08,97,케이시 (Kassy),1877468.0
2023-10-08,98,"정국, 방탄소년단",6079732.0
2023-10-08,99,10cm,3295867.0
2023-10-08,100,방탄소년단,4307363.0
2023-10-08,101,"NewJeans, League of Legends",2902631.0
2023-10-08,102,영탁,1433243.0
2023-10-08,103,테이 (Tei),
2023-10-08,104,릴러말즈 (Leellamarz),3938890.0
2023-10-08,105,너드커넥션 (Nerd Connection),
2023-10-08,106,Agust D,
2023-10-08,107,임영웅,8060791.0
2023-10-08,108,미연 ((여자)아이들),4429849.0
2023-10-08,109,(여자)아이들,4429849.0
2023-10-08,110,던 (DAWN),
2023-10-08,111,권은비,
2023-10-08,112,잔나비,3525721.0
2023-10-08,113,RIIZE,1909171.0
2023-10-08,114,NewJeans,9967063.0
2023-10-08,115,Charlie Puth,3780309.0
2023-10-08,116,아이유 (IU),6903250.0
2023-10-08,117,임영웅,8060791.0
2023-10-08,118,임영웅,8060791.0
2023-10-08,119,V,12098752.0
2023-10-08,120,경서,1409287.0
2023-10-08,121,쿠기 (Coogie),
2023-10-08,122,성시경,3348582.0
2023-10-08,123,임영웅,8060791.0
2023-10-08,124,백아,
2023-10-08,125,AKMU (악뮤),10517450.0
2023-10-08,126,최유리,1981525.0
2023-10-08,127,IVE (아이브),12098752.0
2023-10-08,128,릴러말즈 (Leellamarz),3938890.0
2023-10-08,129,BIG Naughty (서동현),3805748.0
2023-10-08,130,이효리,
2023-10-08,131,임영웅,8060791.0
2023-10-08,132,경서,1409287.0
2023-10-08,133,DAY6,2913434.0
2023-10-08,134,BLACKPINK,8184041.0
2023-10-08,135,Justin Bieber,2643992.0
2023-10-08,136,NCT 127,3685704.0
2023-10-08,137,DAY6,2913434.0
2023-10-08,138,(여자)아이들,4429849.0
2023-10-08,139,BOYNEXTDOOR,
2023-10-08,140,오마이걸 (OH MY GIRL),1648216.0
2023-10-08,141,YOASOBI,
2023-10-08,142,비투비 (BTOB),1997877.0
2023-10-08,143,임재현,
2023-10-08,144,"Christopher, 청하",
2023-10-08,145,임영웅,8060791.0
2023-10-08,146,주호,
2023-10-08,147,imase,
2023-10-08,148,AKMU (악뮤),10517450.0
2023-10-08,149,멜로망스(Melomance),2322803.0
2023-10-08,150,임영웅,8060791.0
2023-10-08,151,NCT 127,3685704.0
2023-10-08,152,경서,1409287.0
2023-10-08,153,성시경,3348582.0
2023-10-08,154,BLACKPINK,8184041.0
2023-10-08,155,BIG Naughty (서동현),3805748.0
2023-10-08,156,Anne-Marie,
2023-10-08,157,NCT DREAM,2135428.0
2023-10-08,158,"DK, 김연지",
2023-10-08,159,LE SSERAFIM (르세라핌),4237579.0
2023-10-08,160,(여자)아이들,4429849.0
2023-10-08,161,Sam Smith,
2023-10-08,162,윤하,3895035.0
2023-10-08,163,Sondia,
2023-10-08,164,NewJeans,9967063.0
2023-10-08,165,방탄소년단,4307363.0
2023-10-08,166,지코 (ZICO),1509174.0
2023-10-08,167,에일리 (Ailee),1504503.0
2023-10-08,168,죠지,
2023-10-08,169,WSG워너비 (가야G),1563752.0
2023-10-08,170,백예린,3138049.0
2023-10-08,171,aespa,4819306.0
2023-10-08,172,잔나비,3525721.0
2023-10-08,173,정국,6079732.0
2023-10-08,174,노을,1561353.0
2023-10-08,175,BIG Naughty (서동현),3805748.0
2023-10-08,176,우디(Woody),1657600.0
2023-10-08,177,아이유 (IU),6903250.0
2023-10-08,178,Charlie Puth,3780309.0
2023-10-08,179,방탄소년단,4307363.0
2023-10-08,180,"Dan + Shay, Justin Bieber",
2023-10-08,181,데이먼스 이어 (Damons Year),
2023-10-08,182,"정은지, 서인국",
2023-10-08,183,ZEROBASEONE (제로베이스원),
2023-10-08,184,Justin Bieber,2643992.0
2023-10-08,185,Yuuri,1569117.0
2023-10-08,186,"TOIL, Kid Wine",2302688.0
2023-10-08,187,"미연 ((여자)아이들), 우기 ((여자)아이들)",4429849.0
2023-10-08,188,"허용별 (허각, 신용재, 임한별)",2436716.0
2023-10-08,189,NCT 127,3685704.0
2023-10-08,190,Ed Sheeran,2079481.0
2023-10-08,191,백예린,3138049.0
2023-10-08,192,"Charlie Puth, 정국, 방탄소년단",3780309.0
2023-10-08,193,Charlie Puth,3780309.0
2023-10-08,194,KISS OF LIFE,
2023-10-08,195,(여자)아이들,4429849.0
2023-10-08,196,디오 (D.O.),
2023-10-08,197,최유리,1981525.0
2023-10-08,198,김승민,1403300.0
2023-10-08,199,마크툽 (Maktub),
2023-10-08,200,케이시 (Kassy),1877468.0
2023-10-15,1,AKMU (악뮤),9824493.0
2023-10-15,2,임영웅,6759286.0
2023-10-15,3,IVE (아이브),14598247.0
2023-10-15,4,AKMU (악뮤),9824493.0
2023-10-15,5,제니 (JENNIE),3398710.0
2023-10-15,6,"다이나믹 듀오 (Dynamic Duo), 이영지",3907619.0
2023-10-15,7,정국,5501211.0
2023-10-15,8,NewJeans,9560298.0
2023-10-15,9,IVE (아이브),14598247.0
2023-10-15,10,NewJeans,9560298.0
2023-10-15,11,박재정,1734624.0
2023-10-15,12,전소미,2151218.0
2023-10-15,13,화사(Hwa Sa),2035543.0
2023-10-15,14,IVE (아이브),14598247.0
2023-10-15,15,우디(Woody),1638526.0
2023-10-15,16,IVE (아이브),14598247.0
2023-10-15,17,RIIZE,1865860.0
2023-10-15,18,STAYC(스테이씨),2822313.0
2023-10-15,19,(여자)아이들,4144136.0
2023-10-15,20,NewJeans,9560298.0
2023-10-15,21,NewJeans,9560298.0
2023-10-15,22,LE SSERAFIM (르세라핌),4197669.0
2023-10-15,23,aespa,4785970.0
2023-10-15,24,Lauv,2762449.0
2023-10-15,25,로이킴,1964239.0
2023-10-15,26,AKMU (악뮤),9824493.0
2023-10-15,27,"성시경, 나얼",4183030.0
2023-10-15,28,IVE (아이브),14598247.0
2023-10-15,29,정국,5501211.0
2023-10-15,30,윤하,3974755.0
2023-10-15,31,성시경,4183030.0
2023-10-15,32,임영웅,6759286.0
2023-10-15,33,LE SSERAFIM (르세라핌),4197669.0
2023-10-15,34,화사(Hwa Sa),2035543.0
2023-10-15,35,IVE (아이브),14598247.0
2023-10-15,36,잔나비,3429874.0
2023-10-15,37,Paul Blanco,1679060.0
2023-10-15,38,NewJeans,9560298.0
2023-10-15,39,NewJeans,9560298.0
