date,Rank,Title,Artist,Production,Weekly Views,Genre,Runtime
2023-09-24,159,어른,Sondia,Stone Music Entertainment,,OST / 드라마,04:19
2023-09-24,160,첫눈처럼 너에게 가겠다,에일리 (Ailee),"Stone Music Entertainment, 화앤담픽쳐스",1538524.0,OST / 드라마,03:50
2023-09-24,161,선물,멜로망스(Melomance),"민트페이퍼, 광합성",2467570.0,가요 / 인디,04:21
2023-09-24,162,늦은 밤 너의 집 앞 골목길에서,노을,씨제스엔터테인먼트,1600204.0,가요 / 발라드,03:36
2023-09-24,163,Next Level,aespa,SM Entertainment,4995647.0,가요 / 댄스,03:42
2023-09-24,164,Bye bye my blue,백예린,JYP Entertainment,3104738.0,가요 / R&B/소울,03:24
2023-09-24,165,I`m Not The Only One,Sam Smith,Capitol Records,,POP / 팝,03:59
2023-09-24,166,Happiness,"허용별 (허각, 신용재, 임한별)",플렉스엠,2468924.0,가요 / 발라드,04:17
2023-09-24,167,A bientot,임영웅,물고기뮤직,5430728.0,가요 / 랩/힙합,04:16
2023-09-24,168,Permission to Dance,방탄소년단,BIGHIT MUSIC,4712538.0,가요 / 댄스,03:08
2023-09-24,169,사랑하지 않아서 그랬니,지아 (Zia),플렉스엠,1717017.0,가요 / 발라드,03:43
2023-09-24,170,Say I Love You,우디(Woody),메이저나인,1743014.0,가요 / 발라드,03:36
2023-09-24,171,가을 아침,아이유 (IU),"페이브엔터테인먼트,카카오 M",7814217.0,가요 / 발라드,03:39
2023-09-24,172,"10,000 Hours","Dan + Shay, Justin Bieber",Warner Music,,POP / 블루스/포크/컨트리,02:48
2023-09-24,173,Thirsty,aespa,SM Entertainment,4995647.0,가요 / R&B/소울,03:13
2023-09-24,174,뜨거운 여름밤은 가고 남은 건 볼품없지만,잔나비,페포니 뮤직,3426583.0,가요 / 발라드,04:03
2023-09-24,175,Love Yourself,Justin Bieber,"Def Jam Recordings, a division of UMG Recordings, Inc",2780062.0,POP / 팝,03:54
2023-09-24,176,200%,AKMU (악뮤),YG Entertainment,11929992.0,가요 / 전체,03:14
